,Headline,Day,Date,Timings
5180,In the capital today,Sunday,2012-02-05,"['11 a.m.', '7 p.m.', '11 a.m.', '10 a.m.', '11 a.m.', '6.30 a.m.']"
5181,Chennai today,Sunday,2012-02-05,"['11 a.m.', '6 p.m.', '7 p.m.']"
5182,Engagements,Sunday,2012-02-05,"['3 p.m.', '10 a.m.', '4 p.m.', '9 a.m.', '3.30 p.m.', '9 a.m.', '8.30 a.m.']"
5183,MADURAI today,Saturday,2012-02-04,['7 p.m.']
5184,Engagements,Saturday,2012-02-04,"['9 a.m.', '5 p.m.', '5.30 p.m.', '7 p.m.', '6 a.m.', '6.30 p.m.', '10 a.m.']"
5185,chennai today,Saturday,2012-02-04,['7 p.m.']
5186,In the capital today,Friday,2012-02-03,['7 p.m.']
5187,chennai today,Friday,2012-02-03,['7 p.m.']
5188,Engagements,Friday,2012-02-03,"['7 p.m.', '9.30 a.m.', '6 a.m.', '6.30 p.m.']"
5189,madurai today,Thursday,2012-02-02,"['7.30 p.m.', '9 a.m.', '7 p.m.', '7 p.m.', '5 p.m.', '6.30 p.m.', '5.30 p.m.', '6.30 a.m.', '5.30 p.m.', '6 a.m.', '10.30 a.m.', '5 p.m.', '6 a.m.', '6.30 a.m.', '6.30 a.m.', '6.45 p.m.', '8 p.m.', '10 a.m.', '10 a.m.', '10 a.m.', '6.30 p.m.', '10.30 a.m.', '4.30 p.m.', '10 a.m.', '10 a.m.', '2.30 p.m.', '2.30 p.m.', '4.45 p.m.', '10 a.m.', '2.30 p.m.', '10.30 a.m.', '6.30 p.m.', '3 p.m.', '7 p.m.']"
5190,Engagements,Thursday,2012-02-02,"['7 p.m.', '6 a.m.', '6.30 p.m.']"
5191,chennai today,Thursday,2012-02-02,"['7 p.m.', '7 p.m.', '7 p.m.']"
5192,In the capital today,Wednesday,2012-02-01,['7 p.m.']
5193,Madurai today,Tuesday,2012-01-31,['7 p.m.']
5194,Engagements,Tuesday,2012-01-31,"['7 p.m.', '6 a.m.', '11.30 a.m.', '6.30 p.m.', '8 p.m.', '7.15 p.m.']"
5195,chennai today,Tuesday,2012-01-31,"['6 p.m.', '7 p.m.']"
5196,madurai today,Monday,2012-01-30,"['7.30 p.m.', '9 a.m.', '6 p.m.', '7 p.m.', '7 p.m.', '5 p.m.', '6.30 p.m.', '7 p.m.', '6.45 p.m.', '6.30 a.m.', '5.30 p.m.', '6 a.m.', '10.30 a.m.', '5 p.m.', '3 p.m.', '3.30 p.m.', '4.30 p.m.', '6 a.m.', '6.30 a.m.', '11 a.m.', '5 p.m.', '6.30 a.m.', '6.45 p.m.', '8 p.m.', '10 a.m.', '10 a.m.', '10 a.m.', '8 a.m.', '10 a.m.', '10 a.m.', '3.40 p.m.', '1.30 p.m.', '9 a.m.', '6 p.m.', '9 a.m.', '8.50 a.m.', '3 p.m.', '7 p.m.']"
