,Headline,Day,Date,Timings
3194,Engagements,Saturday,2014-09-20,[]
3195,"-- REVISED -- Engagements for Friday, Sept. 18",Thursday,2014-09-18,['7 p.m.']
3196,Goa CM promises comprehensive alcohol policy for State,Wednesday,2014-09-17,"['11pm,', '4 am ', '1am ', '4am.', '4am ', '4 am.', '1am ', '4am.']"
3197,Engagements,Wednesday,2014-09-17,['7 p.m.']
3198,MADURAI TODAY,Wednesday,2014-09-17,['7 p.m.']
3199,Engagements,Tuesday,2014-09-16,"['7 p.m.', '11 a.m.', '2.30 p.m.', '5.45 a.m.']"
3200,madurai today,Monday,2014-09-15,['7 p.m.']
3201,madurai today,Sunday,2014-09-14,"['11 a.m.', '7 p.m.']"
3202,Coimbatore Today,Sunday,2014-09-14,"['10 a.m.', '4 p.m.', '6 p.m.', '5.30 p.m.', '11 a.m.', '3 p.m.', '10 a.m.', '10.30 a.m.', '6.30 p.m.', '11 a.m.', '5 p.m.', '10 a.m.', '6.30 a.m.', '5.30 p.m.', '9.30 a.m.', '10 a.m.', '10 a.m.', '3 p.m.', '10 a.m.']"
3203,Engagements,Saturday,2014-09-13,"['7 p.m.', '9.30 a.m.']"
3204,Madurai Today,Saturday,2014-09-13,"['7 p.m.', '7 p.m.']"
3205,Engagements,Friday,2014-09-12,"['7 p.m.', '10.30 a.m.', '9.30 a.m.', '10 a.m.']"
3206,Engagements,Wednesday,2014-09-10,['7 p.m.']
3207,madurai today,Wednesday,2014-09-10,['7 p.m.']
3208,Chennai today,Tuesday,2014-09-09,['7 p.m.']
3209,Engagements,Tuesday,2014-09-09,"['7 p.m.', '11 a.m.', '9.30 a.m.']"
3210,Engagements,Sunday,2014-09-07,"['7 p.m.', '7.30 a.m.', '9 a.m.']"
3211,madurai today,Sunday,2014-09-07,"['11 a.m.', '7 p.m.']"
3212,Engagements for Saturday,Saturday,2014-09-06,['7 p.m.']
3213,MADURAI TODAY,Wednesday,2014-09-03,['7 p.m.']
3214,Madurai Today,Monday,2014-09-01,['7 p.m.']
3215,"Engagements for Monday, September 1",Monday,2014-09-01,[]
3216,In the capital today,Sunday,2014-08-31,"['11 a.m.', '7 p.m.', '11 a.m.', '10 a.m.', '11 a.m.', '6.30 a.m.']"
3217,In the capital today,Saturday,2014-08-30,['7 p.m.']
3218,ENGAGEMENTS,Saturday,2014-08-30,"['7 p.m.', '4 p.m.']"
3219,MADURAI TODAY,Saturday,2014-08-30,['7 p.m.']
3220,Can women have it all?,Friday,2014-08-29,['6 p.m.']
3221,Engagements,Friday,2014-08-29,"['7 p.m.', '2.30 p.m.']"
3222,madurai today,Friday,2014-08-29,['7 p.m.']
3223,Chennai today,Friday,2014-08-29,['7 p.m.']
3224,Engagements for August 28- CITY,Thursday,2014-08-28,['7 p.m.']
3225,In the capital today,Thursday,2014-08-28,['7 p.m.']
3226,madurai today,Wednesday,2014-08-27,['7 p.m.']
3227,Chennai today,Wednesday,2014-08-27,['7 p.m.']
3228,Engagements,Wednesday,2014-08-27,['7 p.m.']
3229,Engagements,Tuesday,2014-08-26,"['7 p.m.', '9 a.m.', '9.30 a.m.', '10 a.m.']"
3230,Madurai Today,Tuesday,2014-08-26,['7 p.m.']
3231,Madurai Today,Monday,2014-08-25,['7 p.m.']
3232,MADURAI TODAY FOR 24 AUGUST SUNDAY,Sunday,2014-08-24,"['11 a.m.', '7 p.m.']"
3233,Engagements for August 21,Thursday,2014-08-21,['7 p.m.']
3234,Madurai Today,Wednesday,2014-08-20,['7 p.m.']
3235,Chennai today,Monday,2014-08-18,"['6.30 p.m.', '7 p.m.']"
3236,MADURAI TODAY FOR AUGUST 18 MONDAY,Monday,2014-08-18,['7 p.m.']
3237,madurai today,Sunday,2014-08-17,"['7 p.m.', '11 a.m.']"
3238,Engagements,Sunday,2014-08-17,['11 a.m.']
3239,Madurai Today,Saturday,2014-08-16,"['7 p.m.', '7 p.m.']"
3240,Engagement for Saturday,Saturday,2014-08-16,[]
3241,MADURAI TODAY,Friday,2014-08-15,['7 p.m.']
3242,Engagements,Thursday,2014-08-14,"['6.45 p.m.', '6 p.m.']"
3243,Engagements,Wednesday,2014-08-13,"['6 a.m.', '9 a.m.', '12.30 p.m.', '6.30 p.m.', '7.30 p.m.', '8 a.m.', '10 a.m.', '3 p.m.', '9.45 a.m.', '10 a.m.', '2.30 p.m.', '6.30 p.m.', '7 p.m.', '10.30 a.m.', '7 p.m.', '10 a.m.']"
3244,madurai today,Wednesday,2014-08-13,['7 p.m.']
3245,Chennai today,Tuesday,2014-08-12,['7 p.m.']
3246,Madurai Today,Monday,2014-08-11,['7 p.m.']
3247,Chennai today,Monday,2014-08-11,['7 p.m.']
3248,madurai today,Sunday,2014-08-10,"['11 a.m.', '7 p.m.']"
3249,Engagements,Saturday,2014-08-09,"['7 p.m.', '5 a.m.', '8.30 a.m.', '9 a.m.', '6 p.m.', '3 p.m.', '5 p.m.']"
3250,MADURAI TODAY FOR FRIDAY AUGUST 8,Friday,2014-08-08,['7 p.m.']
3251,MRR/CHENNAI TODAY FOR AUGUST 07 (THURSDAY) FOR CHENNAI CITY FOR PAGE 4,Thursday,2014-08-07,['7 p.m.']
3252,madurai today,Wednesday,2014-08-06,['7 p.m.']
3253,MRR/CHENNAI TODAY FOR AUGUST 05 (TUESDAY) FOR CHENNAI CITY FOR PAGE 4,Tuesday,2014-08-05,['7 p.m.']
3254,Engagements,Monday,2014-08-04,"['3 p.m.', '10 a.m.', '10 a.m.', '10 a.m.', '10 a.m.', '8 a.m.']"
3255,General,Sunday,2014-08-03,['7 p.m.']
3256,Engagements,Sunday,2014-08-03,"['10 a.m.', '6 p.m.', '10 a.m.', '7 p.m.', '5 a.m.', '7 p.m.', '6.30 p.m.', '9 a.m.', '5 p.m.', '7 p.m.', '10 p.m.', '9 a.m.']"
3257,"Chennai Engagements - August 3, 2014",Saturday,2014-08-02,"['10.30 a.m.', '11 a.m.', '11 a.m.', '11.30 a.m.', '11.30 a.m.', '6 p.m.', '7 p.m.', '7 p.m.']"
3258,"Chennai Engagement - August 2, 2014",Saturday,2014-08-02,['7 p.m.']
3259,MRR/CHENNAI TODAY FOR AUGUST 02 (SATURDAY) FOR CHENNAI CITY FOR PAGE 4,Saturday,2014-08-02,['7 p.m.']
3260,Madurai Today,Wednesday,2014-07-30,['7 p.m.']
3261,madurai today,Monday,2014-07-28,['7 p.m.']
3262,madurai today,Sunday,2014-07-27,"['11 a.m.', '7 p.m.']"
3263,In the capital today,Sunday,2014-07-27,"['11 a.m.', '7 p.m.', '11 a.m.', '10 a.m.', '11 a.m.', '6.30 a.m.']"
3264,COIMBATORE TODAY,Sunday,2014-07-27,"['10 a.m.', '4 p.m.', '7 a.m.', '7 a.m.', '5.45 p.m.', '6.30 p.m.', '4.30 p.m.', '3 p.m.', '10 a.m.', '4 p.m.', '8.30 a.m.', '4 p.m.', '6.30 a.m.', '9 a.m.', '10 am.', '6 p.m.', '5.30 p.m.']"
3265,MRR/CHENNAI TODAY FOR JULY 26 (SATURDAY) FOR CHENNAI CITY FOR PAGE 4,Saturday,2014-07-26,['7 p.m.']
3266,Chennai today,Friday,2014-07-25,['7 p.m.']
3267,Madurai Today,Friday,2014-07-25,['7 p.m.']
3268,Engagements,Friday,2014-07-25,"['7 p.m.', '8.30 p.m.', '9 p.m.', '4.30 p.m.', '5 p.m.', '10 a.m.', '7 p.m.', '11 a.m.', '4.30 p.m.']"
3269,Engagements for July 24,Thursday,2014-07-24,['7 p.m.']
3270,MRR/CHENNAI TODAY FOR JULY 24 (THURSDAY) FOR CHENNAI CITY FOR PAGE 4,Thursday,2014-07-24,['7 p.m.']
3271,Madurai Today,Tuesday,2014-07-22,['7 p.m.']
3272,"Engagements on Monday, July 21",Monday,2014-07-21,['7 p.m.']
3273,Madurai Today,Monday,2014-07-21,['7 p.m.']
3274,Engagements,Monday,2014-07-21,"['3p.m.', '6.30 p.m.', '10 a.m.', '5 p.m.', '10 a.m.', '8 a.m.', '10 a.m.', '5.30 p.m.', '10 a.m.', '8 a.m.', '10 a.m.', '10 a.m.', '10 a.m.', '10 a.m.', '7 p.m.', '7 p.m.']"
3275,madurai today,Sunday,2014-07-20,"['11 a.m.', '7 p.m.']"
3276,Chennai today,Sunday,2014-07-20,"['11 a.m.', '6 p.m.', '7 p.m.']"
3277,Chennai today,Friday,2014-07-18,['7 p.m.']
3278,Engagements,Thursday,2014-07-17,"['11.30 a.m.', '4.45 p.m.', '7 p.m.', '10 a.m.']"
3279,Engagements for July 16,Wednesday,2014-07-16,['7 p.m.']
3280,Engagements,Tuesday,2014-07-15,"['11.30 a.m.', '5 p.m.', '7 p.m.', '11.30 a.m.', '11 a.m.', '6.30 p.m.', '11 a.m.']"
3281,madurai today,Sunday,2014-07-13,"['11 a.m.', '7 p.m.']"
3282,Engagements for Thursday,Thursday,2014-07-10,['7 p.m.']
3283,madurai today,Wednesday,2014-07-09,['7 p.m.']
3284,Madurai Today,Monday,2014-07-07,['7 p.m.']
3285,Engagements,Monday,2014-07-07,"['11 a.m.', '7 p.m.', '11 a.m.', '10 a.m.', '11 a.m.', '6.30 a.m.']"
3286,madurai today,Sunday,2014-07-06,"['11 a.m.', '7 p.m.']"
3287,Engagements,Sunday,2014-07-06,"['3 p.m.', '10 a.m.', '5 p.m.', '10 a.m.', '9 a.m.', '11.30 a.m.', '11 a.m.', '10.30 a.m.', '1 p.m.', '10 a.m.', '10 a.m.', '10 a.m.']"
3288,Engagements - Coimbatore,Sunday,2014-07-06,"['10.30a.m.', '6 p.m.', '4 p.m.', '3 p.m.', '10 a.m.', '10 a.m.', '10 a.m.', '10 a.m.']"
3289,MADURAI TODAY FOR JULY 4 FRIDAY,Friday,2014-07-04,['7 p.m.']
3290,Engagements,Thursday,2014-07-03,['7 p.m.']
3291,madurai today,Wednesday,2014-07-02,['7 p.m.']
3292,MRR/CHENNAI TODAY FOR JULY 01 (TUESDAY) FOR CHENNAI CITY FOR PAGE 4,Tuesday,2014-07-01,"['6 p.m.', '6.30 p.m.', '6.30 p.m.', '6.45 p.m.', '5 p.m.', '6.30 p.m.', '6.45 p.m.', '6 p.m.', '6 p.m.', '9.30 a.m.', '6 p.m.', '6 p.m.', '4 p.m.', '9 a.m.', '5 p.m.', '6.31 p.m.', '6 p.m.', '7 p.m.', '7p.m.', '7 p.m.']"
3293,Madurai Today,Monday,2014-06-30,['7 p.m.']
3294,Smell of liquor drives a political wedge,Monday,2014-06-30,[]
3295,madurai today,Sunday,2014-06-29,"['5 p.m.', '6.30 p.m.', '5.45 p.m,', '6.30 p.m.', '7 p.m.', '7 a.m.', '7 p.m.', '8 a.m.', '10 a.m.', '6 p.m.', '6 p.m.', '10.30 a.m.', '10 a.m.', '11 a.m.', '5 p.m.', '6 a.m.', '10.30 a.m.', '5.30 p.m.', '6 a.m.', '6.30 p.m.', '10 a.m.', '4 p.m.', '6.30 a.m.', '5.30 p.m.', '6.30 a.m.', '6.45 p.m.', '8 p.m.', '6.30 p.m.', '11 a.m.', '2.30 p.m.', '6.30 p.m.', '5 p.m.', '6 p.m.', '10.30 a.m.', '7 p.m.', '5 p.m.', '8 a.m.', '11 a.m.', '7 p.m.']"
3296,Engagements,Sunday,2014-06-29,"['8 a.m.', '10 a.m.', '10 a.m.', '10 a.m.', '4 p.m.', '6 p.m.', '9 a.m.', '7 p.m.']"
3297,Madurai Today,Tuesday,2014-06-24,['7 p.m.']
3298,Chennai today,Saturday,2014-06-21,['7 p.m.']
3299,Engagements,Wednesday,2014-06-18,['7 p.m.']
3300,In the capital today,Monday,2014-06-16,['7 p.m.']
3301,Madurai Today,Monday,2014-06-16,['7 p.m.']
3302,madurai today,Sunday,2014-06-15,"['11 a.m.', '7 p.m.']"
3303,Coimbatore Today,Sunday,2014-06-15,"['7.30 a.m.', '9.30 a.m.', '6 p.m.', '4 p.m.', '8.30 a.m.', '9.30 a.m.', '6.30 a.m.', '3 p.m.', '10 a.m.', '6 p.m.', '10.30 a.m.', '6 p.m.', '9.30 a.m.']"
3304,Engagements,Friday,2014-06-13,"['10.30 a.m.', '10 a.m.', '11 a.m.', '11 a.m.', '6 p.m.']"
3305,madurai today,Wednesday,2014-06-11,['7 p.m.']
3306,Kozhikode today,Monday,2014-06-09,"['3 p.m.', '9 a.m.']"
3307,madurai today,Sunday,2014-06-08,"['11 a.m.', '7 p.m.']"
3308,Engagements,Saturday,2014-06-07,['7 p.m.']
3309,Madurai today,Thursday,2014-06-05,['7 p.m.']
3310,Engagements,Wednesday,2014-06-04,['7 p.m.']
3311,madurai today,Wednesday,2014-06-04,"['7.30 p.m.', '9.30 a.m.', '7 p.m.', '6.30 p.m.', '5 p.m.', '7 a.m.', '7 p.m.', '9.05 a.m.', '11 a.m.', '5 p.m.', '6 a.m.', '10.30 a.m.', '5.30 p.m.', '6 a.m.', '6.30 p.m.', '10 a.m.', '4 p.m.', '6.30 a.m.', '5.30 p.m.', '6.30 a.m.', '6.45 p.m.', '8 p.m.', '6 p.m.', '2 p.m.', '10.30 a.m.', '9.30 a.m.', '6.45 p.m.', '7 p.m.']"
3312,Engagements,Tuesday,2014-06-03,"['7 p.m.', '11 a.m.', '9 a.m.', '11.30 a.m.', '3 p.m.']"
3313,Madurai Today,Monday,2014-06-02,['7 p.m.']
3314,MADURAI TODAY FOR MAY 31,Saturday,2014-05-31,['7 p.m.']
3315,Engagements for May 28,Wednesday,2014-05-28,['6 p.m.']
3316,Engagements,Tuesday,2014-05-27,[]
3317,Chennai today,Monday,2014-05-26,"['6.30 p.m.', '7 p.m.']"
3318,Engagements for Monday May 26,Monday,2014-05-26,['7 p.m.']
3319,madurai today,Sunday,2014-05-25,"['11 a.m.', '7 p.m.']"
3320,MADURAI TODAY FOR MAY 23 FRIDAY,Friday,2014-05-23,['7 p.m.']
3321,Engagements,Friday,2014-05-23,['7 p.m.']
3322,Engagements,Friday,2014-05-23,"['7 p.m.', '2.30 p.m.']"
3323,Chennai today,Thursday,2014-05-22,['7 p.m.']
3324,Engagements,Thursday,2014-05-22,['7 p.m.']
3325,Engagements for May 22,Thursday,2014-05-22,['7 p.m.']
3326,Engagements,Wednesday,2014-05-21,['7 p.m.']
3327,madurai today,Wednesday,2014-05-21,['7 p.m.']
3328,madurai today,Tuesday,2014-05-20,['7 p.m.']
3329,Madurai Today,Monday,2014-05-19,['7 p.m.']
3330,Engagement,Monday,2014-05-19,"['11 a.m.', '7 p.m.', '11 a.m.', '10 a.m.', '11 a.m.', '6.30 a.m.']"
3331,Chennai today,Sunday,2014-05-18,"['11 a.m.', '6 p.m.', '7 p.m.']"
3332,madurai today,Sunday,2014-05-18,"['11 a.m.', '7 p.m.']"
3333,Coimbatore Today,Sunday,2014-05-18,"['3 pm.', '11 a.m.', '11 a.m.']"
3334,Engagements,Sunday,2014-05-18,['7 p.m.']
3335,Engagements for Friday May 16,Friday,2014-05-16,['7 p.m.']
3336,madurai today,Friday,2014-05-16,['7 p.m.']
3337,The long but rewarding road to recovery,Wednesday,2014-05-14,[]
3338,Engagements,Wednesday,2014-05-14,['7 p.m.']
3339,The long but rewarding road to recovery,Wednesday,2014-05-14,[]
3340,"Engagements on Monday, May 12",Monday,2014-05-12,['7 p.m.']
3341,Madurai Today,Monday,2014-05-12,['7 p.m.']
3342,Coimbatore Today,Sunday,2014-05-11,"['11 a.m.', '8 a.m.', '3 p.m.']"
3343,In the capital today,Sunday,2014-05-11,"['11 a.m.', '7 p.m.']"
3344,madurai today,Sunday,2014-05-11,"['11 a.m.', '7 p.m.']"
3345,Chennai today,Saturday,2014-05-10,['7 p.m.']
3346,Engagements,Friday,2014-05-09,['7 p.m.']
3347,Engagements for May8,Thursday,2014-05-08,['7 p.m.']
3348,Engagements,Wednesday,2014-05-07,"['9 a.m.', '11 a.m.', '7 p.m.']"
3349,Engagements for May 07,Wednesday,2014-05-07,['7 p.m.']
3350,Chennai today,Sunday,2014-05-04,"['11 a.m.', '6 p.m.', '7 p.m.', '11 a.m.', '4 p.m.', '6 p.m.', '7 p.m.', '11 a.m.', '7 p.m.', '7 p.m.']"
3351,Coimbatore Today,Sunday,2014-05-04,"['3 p.m.', '10 a.m.', '10 a.m.', '8.30 a.m.']"
3352,Madurai Today,Sunday,2014-05-04,"['11 a.m.', '7 p.m.']"
3353,Engagements,Friday,2014-05-02,"['7 p.m.', '6.45 p.m.', '8 p.m.']"
3354,Engagements for Friday,Friday,2014-05-02,[]
3355,Engagements,Wednesday,2014-04-30,"['7 p.m.', '9.00 a.m.']"
3356,Madurai Today,Wednesday,2014-04-30,['7 p.m.']
3357,Engagements,Tuesday,2014-04-29,"['6.30 p.m.', '7 p.m.', '7 a.m.', '5 p.m.', '12 a.m.', '7 p.m.', '5.30 a.m.']"
3358,Madurai today,Tuesday,2014-04-29,['7 p.m.']
3359,"Engagements on Monday, April 28",Monday,2014-04-28,"['9 a.m.', '11 a.m.']"
3360,Madurai Today,Sunday,2014-04-27,"['11 a.m.', '7 p.m.']"
3361,Engagements for Sunday,Sunday,2014-04-27,"['11 a.m.', '7 p.m.', '11 a.m.', '10 a.m.', '11 a.m.', '6.30 a.m.']"
3362,Engagements for Friday,Friday,2014-04-25,[]
3363,Chennai today,Thursday,2014-04-24,['7 p.m.']
3364,Engagements,Wednesday,2014-04-23,['7 p.m.']
3365,"Engagements on Monday, April 21",Monday,2014-04-21,['7 p.m.']
3366,madurai today,Sunday,2014-04-20,"['11 a.m.', '7 p.m.']"
3367,coimbatore today,Sunday,2014-04-20,"['10 a.m.', '9.30 a.m.', '4 p.m.', '6 p.m.', '6.30 p.m.', '9 a.m.', '9.30 a.m.', '3 p.m.', '6 p.m.', '3 p.m.', '5.30 p.m.']"
3368,Engagements,Sunday,2014-04-20,"['11 a.m.', '7 p.m.', '11 a.m.', '10 a.m.', '11 a.m.', '6.30 a.m.']"
3369,In the CApital today,Saturday,2014-04-19,['7 p.m.']
3370,ENGAGEMENTS FOR APRIL 19 Saturday,Saturday,2014-04-19,['7 p.m.']
3371,MRR/CHENNAI TODAY FOR APRIL 19 (SATURDAY) FOR CHENNAI CITY FOR PAGE 4,Saturday,2014-04-19,['7 p.m.']
3372,Engagement,Friday,2014-04-18,['7 p.m.']
3373,Engagements,Friday,2014-04-18,"['7 p.m.', '7 p.m.', '10 p.m.', '12 a.m.', '9.15 a.m.']"
3374,Madurai today,Thursday,2014-04-17,"['7.30 p.m.', '7 p.m.', '6.30 p.m.', '6 p.m.', '5 p.m.', '6.30 p.m.', '11 a.m.', '5 p.m.', '6 a.m.', '10.30 a.m.', '5.30 p.m.', '6 a.m.', '6.30 p.m.', '10 a.m.', '4 p.m.', '6.30 a.m.', '5.30 p.m.', '6.30 a.m.', '6.45 p.m.', '8 p.m.', '3 p.m.', '11 a.m.', '5.30 p.m.', '11 a.m.', '9 a.m.', '10 a.m.', '10 a.m.', '7 p.m.']"
3375,madurai today,Wednesday,2014-04-16,['7 p.m.']
3376,Engagement for April 16,Wednesday,2014-04-16,['7 p.m.']
3377,Madurai today,Tuesday,2014-04-15,['7 p.m.']
3378,"Engagements on April 14, Monday",Monday,2014-04-14,['7 p.m.']
3379,madurai today,Sunday,2014-04-13,"['11 a.m.', '7 p.m.']"
3380,Engagements for Sunday,Sunday,2014-04-13,"['11 a.m.', '7 p.m.', '11 a.m.', '10 a.m.', '11 a.m.', '6.30 a.m.']"
3381,Coimbatore Today,Sunday,2014-04-13,"['8 a.m.', '10 a.m.', '11.30 a.m.', '6 p.m.', '6.30 p.m.', '11 a.m.', '9.30 a.m.', '3 p.m.']"
3382,Engagement,Saturday,2014-04-12,['7 p.m.']
3383,Engagements for April 10 Thursday,Thursday,2014-04-10,['7 p.m.']
3384,Engagements,Thursday,2014-04-10,"['7 p.m.', '10 a.m.', '9 a.m.', '6.45 p.m.']"
3385,madurai today,Wednesday,2014-04-09,['7 p.m.']
3386,In the capital today,Monday,2014-04-07,['7 p.m.']
3387,Madurai Today,Monday,2014-04-07,['7 p.m.']
3388,engagements,Sunday,2014-04-06,['3 p.m.']
3389,Engagements for Sunday,Sunday,2014-04-06,"['11 a.m.', '7 p.m.', '11 a.m.', '10 a.m.', '11 a.m.', '6.30 a.m.']"
3390,ENGAGEMENTS FOR Saturday April 5,Saturday,2014-04-05,['7 p.m.']
3391,Engagements,Saturday,2014-04-05,['7 p.m.']
3392,COIMBATORE TODAY,Saturday,2014-04-05,"['6 a.m.', '6 p.m.', '9.30 a.m.', '11 a.m.', '6.30 p.m.', '10 a.m.', '10.30 a.m.', '9.30 a.m.', '10.30 a.m.', '3 p.m.', '10 a.m.', '9.30 a.m.', '9 a.m.', '5 p.m.', '3 p.m.', '11 a.m.', '10.30 a.m.', '10 a.m.', '9 a.m.']"
3393,03APRVKN01 - Engagement,Friday,2014-04-04,['7 p.m.']
3394,Engagement,Thursday,2014-04-03,['7 p.m.']
3395,Chennai today,Thursday,2014-04-03,['7 p.m.']
3396,madurai today,Wednesday,2014-04-02,['7 p.m.']
3397,Chennai today,Tuesday,2014-04-01,['7 p.m.']
3398,In the capital today,Monday,2014-03-31,['7 p.m.']
3399,Engagements,Sunday,2014-03-30,"['6 a.m.', '5 p.m.', '10 a.m.', '5 p.m.', '6 p.m.', '7 p.m.']"
3400,madurai today,Sunday,2014-03-30,"['11 a.m.', '7 p.m.']"
3401,madurai today,Friday,2014-03-28,['7 p.m.']
3402,Chennai today,Friday,2014-03-28,['7 p.m.']
3403,Chennai today,Friday,2014-03-28,['7 p.m.']
3404,madurai today,Wednesday,2014-03-26,['7 p.m.']
3405,Engagements for 25 March,Tuesday,2014-03-25,['7 p.m.']
3406,MRR/CHENNAI TODAY FOR MARCH 25 (TUESDAY) FOR CHENNAI CITY FORp PAGE 4,Tuesday,2014-03-25,['7 p.m.']
3407,Kozhikode Today,Monday,2014-03-24,"['3 p.m.', '3.30 p.m.', '9.30 a.m.', '10 a.m.', '5 p.m.', '2 p.m.', '10 a.m.', '6 a.m.']"
3408,In the capital today,Sunday,2014-03-23,['11 a.m.']
3409,Engagements,Sunday,2014-03-23,"['4 p.m.', '9 a.m.', '7 p.m.', '5.30 p.m.', '10 a.m.']"
3410,madurai today,Saturday,2014-03-22,['7 p.m.']
3411,Engagements,Saturday,2014-03-22,['7 p.m.']
3412,Engagements,Friday,2014-03-21,[]
3413,Madurai today,Thursday,2014-03-20,['7 p.m.']
3414,Engagements for Wednesday,Thursday,2014-03-20,['7 p.m.']
3415,madurai today,Wednesday,2014-03-19,['7 p.m.']
3416,Engagements for Monday,Monday,2014-03-17,['7 p.m.']
3417,Madurai today,Monday,2014-03-17,['7 p.m.']
3418,Engagements for Sunday,Sunday,2014-03-16,"['11 a.m.', '7 p.m.', '11 a.m.', '10 a.m.', '11 a.m.', '6.30 a.m.']"
3419,Madurai today,Sunday,2014-03-16,"['11 a.m.', '7 p.m.']"
3420,Engagements,Saturday,2014-03-15,['7 p.m.']
3421,madurai today,Friday,2014-03-14,['7 p.m.']
3422,Engagements,Thursday,2014-03-13,"['11 a.m.', '10 a.m.', '4 p.m.', '6.30 p.m.', '7 p.m.', '8.30 a.m.', '10.30 a.m.', '6.30 p.m.', '6.45 p.m.', '9.45 a.m.', '10 a.m.']"
3423,madurai today,Wednesday,2014-03-12,['7 p.m.']
3424,Engagements,Wednesday,2014-03-12,"['10.30 a.m.', '10 a.m.', '9 a.m.', '3 p.m.', '3 p.m.', '7 p.m.', '8.30 a.m.', '10.30 a.m.', '3.30 p.m.', '6.30 p.m.', '6.30 p.m.', '10 a.m.']"
3425,Madurai today,Tuesday,2014-03-11,['7 p.m.']
3426,Madurai Today,Monday,2014-03-10,['7 p.m.']
3427,ENGAGEMENTS FOR March 9 Sunday,Sunday,2014-03-09,"['11 a.m.', '7 p.m.']"
3428,"Engagements for March 8, 2014",Saturday,2014-03-08,[]
3429,Chennai today,Saturday,2014-03-08,['7 p.m.']
3430,Engagements,Friday,2014-03-07,"['7 p.m.', '5.30 p.m.']"
3431,madurai today,Friday,2014-03-07,['7 p.m.']
3432,"Engagements on Friday, March 7",Friday,2014-03-07,['7 p.m.']
3433,In the capital today,Thursday,2014-03-06,"['11 a.m.', '6 p.m.', '7 p.m.']"
3434,madurai today,Wednesday,2014-03-05,['7 p.m.']
3435,Engagements,Wednesday,2014-03-05,"['11.30 a.m.', '10 a.m.', '6 p.m.', '10 a.m.', '10 a.m.', '7.30 p.m.', '7 p.m.', '11 a.m.', '6.45 p.m.', '8 p.m.', '10 a.m.', '10 a.m.', '9.30 a.m.']"
3436,03MARDHR02 CHENNAI TODAY LAX/AXL/DHR/ASH,Tuesday,2014-03-04,['7 p.m.']
3437,Engagements,Monday,2014-03-03,"['3 p.m.', '10 a.m.', '11 a.m.']"
3438,Engagements for Sunday,Sunday,2014-03-02,['11 a.m.']
3439,CBE engagements,Sunday,2014-03-02,"['6.30 p.m.', '6 p.m.', '9.30 a.m.', '4 p.m.', '10.30 a.m.', '3 p.m.', '10 a.m.', '9 a.m.', '10 a.m.', '7 a.m.', '5.30 p.m.']"
3440,Engagements,Friday,2014-02-28,"['7 p.m.', '5 p.m.', '11.30 a.m.', '9.45 a.m.']"
3441,Chennai today,Friday,2014-02-28,['7 p.m.']
3442,MRR/CHENNAI TODAY FOR FEBRUARY 27 (THURSDAY) FOR CHENNAI CITY FOR PAGE 4,Thursday,2014-02-27,['7 p.m.']
3443,MRR/CHENNAI TODAY FOR FEBRUARY 26 (WEDNESDAY) FOR CHENNAI CITY FOR PAGE 4,Wednesday,2014-02-26,['7 p.m.']
3444,madurai today,Wednesday,2014-02-26,['7 p.m.']
3445,Engagements for Sunday,Sunday,2014-02-23,[]
3446,madurai today,Sunday,2014-02-23,"['11 a.m.', '7 p.m.']"
3447,Engagements Coimbatore,Sunday,2014-02-23,"['3 p.m.', '8 a.m.']"
3448,CITY ENGAGEMENTS FOR FEB 22,Saturday,2014-02-22,['7 p.m.']
3449,Engagements,Saturday,2014-02-22,['7 p.m.']
3450,Engagements for Saturday,Saturday,2014-02-22,['7 p.m.']
3451,CITY ENGAGEMENTS FOR FEBRUARY 21,Friday,2014-02-21,['7 p.m.']
3452,Engagement for February 20,Friday,2014-02-21,['7 p.m.']
3453,Chennai today,Friday,2014-02-21,['7 p.m.']
3454,Engagements,Friday,2014-02-21,"['7 p.m.', '1.30 p.m.', '2.30 p.m.', '3.30 p.m.', '11 a.m.', '10.30 a.m.', '4 p.m.', '10 a.m.', '9.30 a.m.', '10 a.m.']"
3455,"Engagements on Thursday, February 20",Thursday,2014-02-20,['7 p.m.']
3456,MRR/CHENNAI TODAY FOR FEBRUARY 18 (TUESDAY) FOR CHENNAI CITY FOR PAGE 4,Tuesday,2014-02-18,['7 p.m.']
3457,MRR/CHENNAI TODAY FOR FEBRUARY 18 (TUESDAY) FOR CHENNAI CITY FOR PAGE 4,Tuesday,2014-02-18,['7 p.m.']
3458,Engagements,Tuesday,2014-02-18,"['3.30 p.m.', '8 a.m.', '10 a.m.', '2.30 p.m.', '6 p.m.', '8 p.m.', '7 p.m.', '11 a.m.', '7 p.m.', '9.30 a.m.']"
3459,Madurai Today- for Monday,Monday,2014-02-17,['7 p.m.']
3460,"Engagements for Monday, Feb 17",Monday,2014-02-17,['7 p.m.']
3461,madurai today,Sunday,2014-02-16,"['11 a.m.', '7 p.m.']"
3462,Engagements Coimbatore,Sunday,2014-02-16,"['3 p.m.', '9 a.m.', '5.30 p.m.', '6 p.m.', '9.30 a.m.', '9 a.m.', '9.30 a.m.', '9 a.m.']"
3463,Chennai today,Sunday,2014-02-16,"['10.30 a.m.', '11 a.m.', '11.30 a.m.', '6 p.m.', '7 p.m.']"
3464,Engagements for Saturday,Saturday,2014-02-15,['7 p.m.']
3465,Chennai today,Saturday,2014-02-15,['7 p.m.']
